actualprice,amenities,auto_des,bedrooms,booking_amt,city,covAreaUnit,flooring_typ,fur_unfur,house_facing,landmarks,lat,locality,lon,main_charges,no_balconies,parking,possesionby,power_status,property_typ,psnstats,seller_type,sqftprice,tenantsPreference,water_status
24606875,"Garden View,Kids play area,Cycling track,Jogging and Strolling Track,Outdoor Tennis Courts,Visitor Parking","4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 2.4 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,yearly,,1 Covered,,,,,owner,,family,
16100000,"Garden View,Kids play area,Cycling track,Jogging and Strolling Track,Outdoor Tennis Courts,Visitor Parking","5 BHK, Villa is available for Sale in Attibele, Bangalore for 1.6 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,halfyearly,,1 Covered,,,,,owner,,bachelors,
12923225,"Garden View,Kids play area,Cycling track,Jogging and Strolling Track,Outdoor Tennis Courts,Visitor Parking","3 BHK, Villa is available for Sale in Chandapura Anekal Road, Bangalore for 1.2 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,halfyearly,,1 Covered,,,,,builder,,couples,
29000000,"Garden View,Kids play area,Cycling track,Jogging and Strolling Track,Outdoor Tennis Courts,Visitor Parking","4 BHK, Villa is available for Sale in Yelahanka, Bangalore for 2.9 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,monthly,,1 Covered,,,,,contracter,,onlyboys,
17934525,"Outdoor Tennis Courts,Visitor Parking,Intercom Facility","4 BHK, Villa is available for Sale in Whitefield, Bangalore for 1.7 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,monthly,,1 Covered,,,,,contracter,,bachelors,
48000000,"Bar/Lounge,Air Conditioned,Banquet Hall,Outdoor Tennis Courts,Internet/Wi-Fi Connectivity,Visitor Parking,Intercom Facility,Conference Room","4 BHK, Villa is available for Sale in Hennur Gardens, Bangalore for 4.8 Crore(s)",4,500000,Bangalore,2768,"Ceramic Tiles,Granite,Marble,Marbonite,Mosaic,Normal Tiles/Kotah Stone,Wooden",Unfurnished,East Facing Property,Located in Hennur Main Road Close to ORR Road,13.254957383664243,Hennur Gardens,78.38393610922536,quarterly,2,2 Covered,Dec '24,No/Rare Powercut,Villa,Under Construction,Agent,13994.0,onlyboys,Water Availability 24 Hours Available
32500000,Visitor Parking,"4 BHK, Villa is available for Sale in Yelahanka, Bangalore for 3.2 Crore(s)",4,500000,Bangalore,3000,Ceramic Tiles,Unfurnished,East Facing Property,Close to Healthcare and business centers,13.748724634224777,Yelahanka,78.45560528257896,quarterly,1,1 Covered,Dec '25,No/Rare Powercut,Villa,Under Construction,Agent,9339.0,onlygirls,Water Availability 24 Hours Available
55000000,"Theme based Architectures,Air Conditioned,Jogging and Strolling Track,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Intercom Facility","4 BHK, Villa is available for Sale in Whitefield, Bangalore for 5.5 Crore(s)",4,500000,Bangalore,3000,Ceramic Tiles,Unfurnished,East Facing Property,Close to Healthcare and business centers,13.748724634224777,Yelahanka,78.45560528257896,yearly,1,2 Covered,Dec '25,No/Rare Powercut,Villa,Under Construction,contracter,9339.0,family,Water Availability 24 Hours Available
32000000,"Theme based Architectures,Laundry Service,Visitor Parking,Intercom Facility","4 BHK, Villa is available for Sale in Devanahalli, Bangalore for 3.2 Crore(s)",4,500000,Bangalore,2500,Ceramic Tiles,Unfurnished,East Facing Property,Close to Healthcare and business centers,13.321229742000996,Devanahalli,78.07731231248506,yearly,1,2 Covered,Dec '25,No/Rare Powercut,Villa,Ready to Move,builder,9339.0,family,Water Availability 24 Hours Available
50000000,"Golf Course,Jogging and Strolling Track,Outdoor Tennis Courts,Visitor Parking","4 BHK, Villa is available for Sale in Devanahalli, Bangalore for 5.0 Crore(s)",4,500000,Bangalore,3900,Ceramic Tiles,Unfurnished,East Facing Property,Close to Healthcare and business centers,14.064781851689048,Devanahalli,78.67441615341977,monthly,1,1 Covered,Dec '25,No/Rare Powercut,Villa,Ready to Move,contracter,9339.0,onlyboys,Water Availability 24 Hours Available
50000000,"Golf Course,Jogging and Strolling Track,Outdoor Tennis Courts,Visitor Parking","4 BHK, Villa is available for Sale in Devanahalli, Bangalore for 5.0 Crore(s)",4,500000,Bangalore,3900,Ceramic Tiles,Unfurnished,East Facing Property,Close to Healthcare and business centers,13.374591988949113,Devanahalli,78.05485183676208,yearly,1,1 Covered,Dec '25,No/Rare Powercut,Villa,Ready to Move,builder,9339.0,couples,Water Availability 24 Hours Available
28500000,"Jogging and Strolling Track,Visitor Parking","4 BHK, Villa is available for Sale in Thirupalya, Bangalore for 2.8 Crore(s)",4,500000,Bangalore,2300,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.374591988949113,Thirupalya,78.05485183676208,monthly,3,2 Covered,Jul '27,No/Rare Powercut,Villa,Under Construction,Agent,8862.0,onlyboys,Water Availability 24 Hours Available
32000000,"Water Front,Private jaccuzi,Outdoor Tennis Courts,Private Garage,Internet/Wi-Fi Connectivity,Visitor Parking,Mansion","4 BHK, Villa is available for Sale in Sarjapura, Bangalore for 3.2 Crore(s)",4,500000,Bangalore,2300,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.374591988949113,Thirupalya,78.05485183676208,quarterly,3,1 Covered,Jul '27,No/Rare Powercut,Villa,Under Construction,builder,8862.0,onlyboys,Water Availability 24 Hours Available
14800000,"Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Intercom Facility","2 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 1.4 Crore(s)",4,500000,Bangalore,2300,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.374591988949113,Thirupalya,78.05485183676208,halfyearly,3,1 Covered,Jul '27,No/Rare Powercut,Villa,Under Construction,agent,8862.0,bachelors,Water Availability 24 Hours Available
26500000,"Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Intercom Facility","5 BHK, Residential House is available for Sale in Halanayakanahalli, Bangalore for 2.6 Crore(s)",4,500000,Bangalore,2300,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.374591988949113,Thirupalya,78.05485183676208,halfyearly,3,1 Covered,Jul '27,No/Rare Powercut,Villa,Under Construction,contracter,8862.0,family,Water Availability 24 Hours Available
72150000,"Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Intercom Facility","8 BHK, Residential House is available for Sale in Stage 2 Indiranagar, Bangalore for 7.2 Crore(s)",4,500000,Bangalore,2300,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.374591988949113,Thirupalya,78.05485183676208,monthly,3,2 Covered,Jul '27,No/Rare Powercut,Villa,Under Construction,builder,8862.0,onlygirls,Water Availability 24 Hours Available
17500000,"Wrap Around Balcony,Theme based Architectures,Banquet Hall,Jogging and Strolling Track","5 BHK, Villa is available for Sale in Bidaraguppe, Bangalore for 1.7 Crore(s)",4,500000,Bangalore,2136,"Vitrified,Wooden",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.489156706662294,Bidaraguppe,78.19353546487291,halfyearly,3,1 Covered,Dec '25,No/Rare Powercut,Villa,Under Construction,owner,8862.0,onlygirls,Water Availability 24 Hours Available
14000000,"Visitor Parking,Intercom Facility","4 BHK, Villa is available for Sale in Yelahanka, Bangalore for 1.4 Crore(s)",4,500000,Bangalore,2136,"Vitrified,Wooden",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.489156706662294,Bidaraguppe,78.19353546487291,halfyearly,3,2 Covered,Dec '25,No/Rare Powercut,Villa,Under Construction,agent,8862.0,family,Water Availability 24 Hours Available
37500000,"Banquet Hall,Visitor Parking","4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 3.7 Crore(s)",4,500000,Bangalore,2900,"Vitrified,Wooden",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.227676571414344,Sarjapur Road,78.37495792669317,quarterly,3,2 Covered,Dec '25,No/Rare Powercut,Villa,Ready to Move,builder,8862.0,onlygirls,Water Availability 24 Hours Available
28000000,Visitor Parking,"4 BHK, Villa is available for Sale in Allalasandra Yelahanka, Bangalore for 2.8 Crore(s)",4,500000,Bangalore,2900,"Vitrified,Wooden",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.227676571414344,Sarjapur Road,78.37495792669317,quarterly,3,1 Covered,Dec '25,No/Rare Powercut,Villa,Ready to Move,owner,8862.0,onlyboys,Water Availability 24 Hours Available
58400000,Visitor Parking,"4 BHK, Villa is available for Sale in Whitefield, Bangalore for 5.8 Crore(s)",4,500000,Bangalore,2900,"Vitrified,Wooden",Unfurnished,East Facing Property,Close to Electronic city and also has good access to metro as well.,13.227676571414344,Sarjapur Road,78.37495792669317,quarterly,3,1 Covered,Dec '25,No/Rare Powercut,Villa,Ready to Move,builder,8862.0,family,Water Availability 24 Hours Available
25000000,,"4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 2.5 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,halfyearly,,,,,,,agent,,onlyboys,
28000000,,"4 BHK, Villa is available for Sale in Yelahanka, Bangalore for 2.8 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,quarterly,,,,,,,owner,,couples,
45000000,"Jogging and Strolling Track,Internet/Wi-Fi Connectivity,Visitor Parking,Intercom Facility","4 BHK, Villa is available for Sale in Whitefield, Bangalore for 4.5 Crore(s)",,,Bangalore,,,,,"Channasandra Main Road, Nagondanahalli",,,,halfyearly,,2 Covered,,,,,owner,,onlygirls,
29000000,"Island Kitchen Layout,Theme based Architectures,Fingerprint Access,Banquet Hall,Jogging and Strolling Track,Outdoor Tennis Courts,Internet/Wi-Fi Connectivity,RO Water System,Service/Goods Lift,Visitor Parking","4 BHK, Villa is available for Sale in Sarjapur Road, Bangalore for 2.9 Crore(s)",4,500000,Bangalore,2600,Marble,Unfurnished,East Facing Property,Soulace Villa Bangalore is located at Sarjapur,13.454019152310854,Sarjapur Road,78.46929623303485,halfyearly,4,2 Covered,Dec '24,No/Rare Powercut,Villa,Under Construction,Agent,8562.0,onlyboys,Water Availability 24 Hours Available
26700000,"Theme based Architectures,Banquet Hall,Jogging and Strolling Track,Private Garage,Visitor Parking,Conference Room","4 BHK, Villa is available for Sale in Budigere Cross, Bangalore for 2.6 Crore(s)",4,500000,Bangalore,2600,Marble,Unfurnished,East Facing Property,Soulace Villa Bangalore is located at Sarjapur,13.454019152310854,Sarjapur Road,78.46929623303485,yearly,4,2 Covered,Dec '24,No/Rare Powercut,Villa,Under Construction,builder,8562.0,bachelors,Water Availability 24 Hours Available
13600000,"Outdoor Tennis Courts,Visitor Parking","3 BHK, Villa is available for Sale in Rajanukunte, Bangalore for 1.3 Crore(s)",3,200000,Bangalore,1455,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Location Highlights   Bangalore International Airport   15 Mins drive   prestige oasis villa project 2 Kms   D-Mart  6km    Raksha Hospital  2 Kms   Main Bus Stand  3 Kms  LOCATION  RAJANKUNTE,13.454019152310854,Rajanukunte,78.46929623303485,yearly,1,1 Covered,Dec '24,No/Rare Powercut,Villa,Under Construction,Agent,6542.0,onlyboys,Water Availability 24 Hours Available
22600000,"Theme based Architectures,Bar/Lounge,Health club with Steam / Jaccuzi,Jogging and Strolling Track,Visitor Parking,Intercom Facility","4 BHK, Villa is available for Sale in Billapura, Bangalore for 2.2 Crore(s)",4,1000000,Bangalore,2362,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Next to Indus internationaland Ajim premji University.,13.400366529998426,Billapura,78.59208996332595,monthly,2,2 Covered,Dec '25,No/Rare Powercut,Villa,Under Construction,Agent,6193.0,couples,Water Availability 24 Hours Available
42850000,"House help accommodation,Air Conditioned,Private Garage,Laundry Service,Internet/Wi-Fi Connectivity,RO Water System,Visitor Parking,Mansion","5 BHK, Residential House is available for Sale in Sector 5th HSR Layout, Bangalore for 4.2 Crore(s)",4,1000000,Bangalore,2400,"Ceramic Tiles,Vitrified",Unfurnished,East Facing Property,Next to Indus internationaland Ajim premji University.,13.400366529998426,Sector 5th HSR Layout,78.59208996332595,monthly,2,2 Covered,Dec '25,No/Rare Powercut,Residential House,Ready to Move,owner,6193.0,family,Water Availability 24 Hours Available
6089000,"Laundry Service,RO Water System,Service/Goods Lift,Visitor Parking,Intercom Facility","2 BHK, Residential House is available for Sale in Sarjapur Road, Bangalore for 60.89 Lac(s)",4,1000000,Bangalore,1030,Vitrified,Unfurnished,East Facing Property,Next to Indus internationaland Ajim premji University.,13.46885801746511,Sarjapur Road,77.84497623721016,monthly,2,1 Covered,Mar '24,No/Rare Powercut,Residential House,Under Construction,owner,6193.0,couples,Water Availability 24 Hours Available
